"","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000019370",5.66141158498596,-1.65015042354165,27.7174074499528,1.40393686443798e-07,7.37825738621527e-05
"ENSGMOG00000006081",0.685665394767539,4.35052867684547,27.0762928474798,1.9558183288937e-07,0.000100081282645626
"ENSGMOG00000016966",5.30991895753538,10.160959491936,26.8224999506581,2.23025497686154e-07,0.000111198225705315
"ENSGMOG00000005342",0.701925598101665,4.70302905531048,25.975471866885,3.45782798744015e-07,0.000168093663039434
"ENSGMOG00000012449",1.20011848735144,4.85362424114208,25.7319285211386,3.92283078483917e-07,0.000182217613420288
"ENSGMOG00000003971",0.883023498267618,7.2374085515113,25.7196569874394,3.94785384074792e-07,0.000182217613420288
"ENSGMOG00000003279",0.836730346576762,6.11041417888067,25.6801537525774,4.02949723685902e-07,0.000182217613420288
"ENSGMOG00000004390",6.66304053288747,3.84481879097602,24.8472151729529,6.20586337019002e-07,0.000274256848257602
"ENSGMOG00000015073",1.92224378936617,0.286938965167643,24.5977117522064,7.06355606738872e-07,0.000305224106067497
"ENSGMOG00000007652",0.831577436411761,4.31072205385226,24.3023542000975,8.23383677657058e-07,0.000348058600261772
"ENSGMOG00000013507",4.50123289349816,4.00578842453684,23.7862790204502,1.07647098940728e-06,0.00044536124231967
"ENSGMOG00000004684",0.916172087373137,4.20909925358473,23.471958508726,1.26747749307842e-06,0.00051346041360229
"ENSGMOG00000002302",1.03553169971628,2.00552357667398,23.3723239216813,1.33485307661215e-06,0.000521274311540968
"ENSGMOG00000013035",0.64193633942994,4.65345870645899,23.3643739321306,1.34038136163787e-06,0.000521274311540968
"ENSGMOG00000018575",4.78350248674058,-1.7893587864494,23.2330445088861,1.43510118918007e-06,0.000547167502423654
"ENSGMOG00000018437",0.767000664193512,4.16555112985001,22.8185036367555,1.78043253248383e-06,0.000665779049887464
"ENSGMOG00000011560",1.20349779306935,1.45719120384176,22.020318476509,2.69779378883913e-06,0.000989784909886357
"ENSGMOG00000005198",0.715695393886754,5.31036229857494,21.8461215218809,2.95413111981024e-06,0.00106376073379093
"ENSGMOG00000009714",0.764246936744951,5.88923542785342,21.6569481483717,3.26026904752043e-06,0.00115265330234609
"ENSGMOG00000003762",1.21433196633517,0.77521554767974,21.5861402132149,3.38287594510218e-06,0.00117464326343771
"ENSGMOG00000016102",-0.738033328276671,5.84174648157216,20.9768158998549,4.64875000360868e-06,0.00158587620737142
"ENSGMOG00000015089",1.60447278876608,0.949802880724532,20.8171773044753,5.05277476220148e-06,0.00169398629743117
"ENSGMOG00000020457",-5.70696653830816,-3.12953371520166,20.590369652008,5.688153276358e-06,0.001874680346759
"ENSGMOG00000006837",0.85715565365494,2.9243353266809,20.3562049828558,6.4284295395803e-06,0.00208334687328565
"ENSGMOG00000010514",1.35958174149969,0.324028325909289,20.1243478468301,7.2566979685367e-06,0.0023132211802983
"ENSGMOG00000011179",-1.21814088375527,0.897233533681774,20.0697773712498,7.46673444668001e-06,0.00234178469864021
"ENSGMOG00000014285",2.99910458832179,-1.48472476416702,19.9957508504969,7.76144450649664e-06,0.00239557600680678
"ENSGMOG00000012239",5.38071305365953,7.36190095754589,19.1856458153166,1.18601879175057e-05,0.00357073936458196
"ENSGMOG00000006817",0.671421790812828,5.2330026322925,19.1734620548934,1.19361305578723e-05,0.00357073936458196
"ENSGMOG00000004610",0.723455966067387,6.17358057435096,19.0381970762257,1.28127809298817e-05,0.0037749170482053
"ENSGMOG00000008920",0.794972897934191,2.07319092259876,18.8608491054025,1.4060908489988e-05,0.00408081142668382
"ENSGMOG00000002650",0.946648534692292,3.11216024610758,18.7540900502145,1.48704086806871e-05,0.00425228083523472
"ENSGMOG00000001777",0.916796482990188,2.01061321191216,18.7227450725417,1.51168541612837e-05,0.00426010477052409
"ENSGMOG00000012451",1.64089376635786,-0.249967807760511,18.2273038600835,1.96048126436959e-05,0.00536967376141587
"ENSGMOG00000013259",1.21438878830368,3.35553707906088,18.2271477049025,1.96064200082554e-05,0.00536967376141587
"ENSGMOG00000007683",2.04696315635288,0.288131594053757,18.1555614200775,2.03574043120388e-05,0.00549791287288326
"ENSGMOG00000000575",0.789790009276236,6.37986775535206,17.8876644696805,2.34335090975307e-05,0.00624198060823952
"ENSGMOG00000014528",1.4748266757592,0.451403286219974,17.6152795553324,2.70407018820503e-05,0.00710549254184416
"ENSGMOG00000005761",4.5447107244576,-2.25507690456182,17.1055227041495,3.5359334741786e-05,0.00909059763491015
"ENSGMOG00000019929",2.55003127252654,3.39042879965022,17.0963654518139,3.55302350348764e-05,0.00909059763491015
"ENSGMOG00000005360",0.53693012294734,4.40797034009866,16.983668977321,3.77027233470319e-05,0.00952116175951994
"ENSGMOG00000011232",0.602088205398368,5.43729681477593,16.6562868289907,4.48015747643863e-05,0.011168802837096
"ENSGMOG00000010051",0.519831497674685,3.73699087456072,16.4682993286874,4.94703554255127e-05,0.0121765957120139
"ENSGMOG00000012762",3.03429688111988,-2.43991861792272,16.418285835772,5.07928687655212e-05,0.0123458416643195
"ENSGMOG00000005554",1.30155357830053,0.340496787520464,16.3509105617691,5.26308695455472e-05,0.0126346575100391
"ENSGMOG00000019974",0.87185689088789,5.38585834920509,16.2940155445142,5.42349651096219e-05,0.0128609621531292
"ENSGMOG00000007600",1.38061475560088,1.73023985691061,16.2632089653667,5.51239491901656e-05,0.0129142794217201
"ENSGMOG00000004671",3.81378059507345,-1.92575659618193,16.1107540333347,5.97438172585067e-05,0.0138299824594245
"ENSGMOG00000014294",1.97284910310661,-0.0851840295413217,15.9700545412837,6.43523976571592e-05,0.0147215573228642
"ENSGMOG00000017017",-4.77318546846883,-3.8086540141406,15.7475370155827,7.23821162555089e-05,0.0163659331463764
"ENSGMOG00000014873",0.526011826539894,7.32651463300345,15.697896966181,7.4306743184919e-05,0.0166079841520776
"ENSGMOG00000019500",4.8143358262237,-3.69628745266787,15.6281380434088,7.70987480661863e-05,0.0170361949562158
"ENSGMOG00000000785",0.79923391617488,3.02175477066454,15.543064106034,8.06469791529311e-05,0.0176200057261657
"ENSGMOG00000016904",2.92077727803566,-2.05956655558849,14.6921144251722,0.000126574816351534,0.0273471922661732
"ENSGMOG00000005889",3.51632174686521,-1.44320453788253,14.5848067812849,0.000133990507376476,0.0285247834757688
"ENSGMOG00000000846",0.964345913132978,3.18987695784281,14.5712341173125,0.000134959119556222,0.0285247834757688
"ENSGMOG00000000777",0.891514703963082,0.659614832020858,14.1912085327655,0.000165140278736827,0.0345285238713722
"ENSGMOG00000007490",4.77162430797132,-3.69939918232981,14.0879131089925,0.000174461276144258,0.0359141488843718
"ENSGMOG00000001894",0.918432354323721,2.23018269391307,14.0724014838497,0.000175906042314753,0.0359141488843718
"ENSGMOG00000013100",-0.507531649557648,3.40986978316059,14.0574693493778,0.000177308217685765,0.0359141488843718
"ENSGMOG00000000887",1.92832123102117,-1.45333018709948,13.9677310537697,0.000185975306182631,0.0372813384404253
"ENSGMOG00000005645",-0.634057401976641,2.25899565295013,13.8563836430733,0.00019732527474488,0.0391529588511652
