"","logFC","logCPM","LR","PValue"
"ENSGMOG00000000001",-0.187232445907334,4.88793311044258,0.6575629945131,0.417421618461621
"ENSGMOG00000000002",-0.251395300975752,1.54846553588629,0.607421707412249,0.435760237644411
"ENSGMOG00000000003",-1.66032967700851,-4.4677394037311,1.93768847229368,0.163919736108185
"ENSGMOG00000000004",-0.101226467410717,4.69304551264721,0.0417392538243178,0.838117609242663
"ENSGMOG00000000005",-0.404925284091431,-3.71483688981059,0.0734809489013868,0.786334351622377
"ENSGMOG00000000006",0.000370618480267247,3.34206298103302,1.59863786919345e-06,0.998991176956022
"ENSGMOG00000000007",0.964373863170194,0.128463366871086,1.74229576897182,0.186848200360543
"ENSGMOG00000000008",0.347960676710527,1.88000777416599,1.46305518229308,0.226444634247533
"ENSGMOG00000000009",-0.10316239129352,3.21365212545583,0.156443727250221,0.692452022546245
"ENSGMOG00000000011",-0.0691089862948698,2.34516534654907,0.0560985249709347,0.812772173830694
"ENSGMOG00000000012",0.659906037806809,1.29708626090213,2.02387446929439,0.15484361051657
"ENSGMOG00000000013",-1.07977745553148,-4.53649533866436,1.06066949253625,0.303062538908452
"ENSGMOG00000000014",0.16981950846107,9.0400149761476,0.319793392535132,0.571731834922497
"ENSGMOG00000000015",0.13102789361732,4.37755406084719,0.14984249297328,0.698685923098807
"ENSGMOG00000000016",-0.14979816083841,4.18598321429894,0.355061747401944,0.55126168886717
"ENSGMOG00000000017",0.0252287866849526,-0.399525727553324,0.00548132987870908,0.940981736863156
"ENSGMOG00000000018",0.434311746098017,3.98442818952759,3.06000958487534,0.0802411959608225
"ENSGMOG00000000019",-0.161778020251367,6.13901647846954,0.512760769083853,0.473946176344936
"ENSGMOG00000000020",0.151177419201147,2.97406969307556,0.263487949913944,0.607733949186077
"ENSGMOG00000000021",0.12687606845515,4.97165387794914,0.245525387377757,0.620243563618577
"ENSGMOG00000000022",0.3032436033963,0.206568207981987,0.241105836942269,0.623408559511906
"ENSGMOG00000000023",-0.0485852082428027,3.51491281324743,0.028760589701001,0.86533300114358
"ENSGMOG00000000024",0.459244179848501,-0.104237069669762,0.673704461787061,0.411763036771644
"ENSGMOG00000000025",0.10214166738596,2.89159039744586,0.158157864082233,0.690858220232078
"ENSGMOG00000000026",0.0598066617559368,-1.55796746076231,0.00854194466251545,0.926362251096493
"ENSGMOG00000000027",1.03264839390533,-2.24292240949008,1.36874783466603,0.242027139561392
"ENSGMOG00000000028",-0.259574671633946,6.13495935847703,1.34976216203547,0.245319700258745
"ENSGMOG00000000029",-0.0984050776860303,4.50568998852174,0.117973693350363,0.731242658795966
"ENSGMOG00000000030",1.5183468574172,-4.47942932796544,1.77043724567842,0.1833279757011
"ENSGMOG00000000031",-1.35186922491559,-1.36966690699479,1.42204727047477,0.233066726150579
"ENSGMOG00000000032",-0.250756026066143,5.22174428677339,1.08779625466044,0.296960003852805
"ENSGMOG00000000033",0.179504427325563,1.51479944019814,0.336395561055567,0.561917198365461
"ENSGMOG00000000034",0.072883373039663,0.823534014897032,0.0347850990638143,0.852046689622184
"ENSGMOG00000000035",1.50456545853101,-4.44129252449611,1.71748662056181,0.190016893794182
"ENSGMOG00000000036",0.86055235875985,-2.13711102556657,1.27278255946288,0.259245322007194
"ENSGMOG00000000037",-0.607125488323384,-2.93207608199767,0.373771810688012,0.540955452400127
"ENSGMOG00000000038",-0.237783614052674,4.12290581999838,0.9936331312025,0.318856023775631
"ENSGMOG00000000039",0.170884308058438,-2.67690178022358,0.0561486860853191,0.812690040887562
"ENSGMOG00000000041",1.78746432589462,-2.83066746461496,1.05811722517886,0.303644995316623
"ENSGMOG00000000042",-0.142180317374398,1.98388672356128,0.240465115203053,0.623870385739533
"ENSGMOG00000000044",0.196016729634209,3.08539252675293,0.600206917640324,0.438499088518812
"ENSGMOG00000000045",-0.0282800039312447,4.49351209245199,0.00755411256482219,0.930739554949278
"ENSGMOG00000000046",-0.0522408941379358,3.42970049937348,0.0221430480189024,0.881707186981968
"ENSGMOG00000000047",-0.0860359692866516,3.690232366818,0.0240674119385282,0.876713508711217
"ENSGMOG00000000048",0.205552734935877,-0.410416563471024,0.242694699286299,0.622266599546131
"ENSGMOG00000000049",2.18081454229359,-2.32353812953242,3.38523819112156,0.0657826733774132
"ENSGMOG00000000050",-0.122590771726708,5.57745451522089,0.272149997906375,0.601893168464856
"ENSGMOG00000000051",0.147998787059892,5.34896162679055,0.340358511267084,0.559622355499389
"ENSGMOG00000000052",-0.209588827144887,2.4549351883864,0.112355113623245,0.737478639807704
"ENSGMOG00000000053",-0.0476965109481654,3.898727232912,0.0228211688516637,0.87992304570406
"ENSGMOG00000000054",-0.0348488838310748,4.53000415428252,0.0181254547159568,0.892903781352657
"ENSGMOG00000000055",-0.188127241893257,4.0707429994424,0.663736184553745,0.415244020147542
"ENSGMOG00000000056",-0.160993254724122,5.28302096801531,0.227548218489027,0.633347776908358
"ENSGMOG00000000057",0.31850156960313,-0.222279279493134,0.613648515643303,0.433417377411228
"ENSGMOG00000000058",0.270180857681054,-2.7956139223303,0.0476287362984316,0.827242051552926
"ENSGMOG00000000059",-0.355008280283001,0.374220430391267,0.929208986337467,0.33506855386499
"ENSGMOG00000000060",-0.705207448440192,-0.887692821580353,0.620302223544211,0.430934999989624
"ENSGMOG00000000061",0.0646469020271006,5.78066459640444,0.0820107883812469,0.774590722785387
